name,id_patmos,id_rsgb,id_esa,date_launch,date_operational,generation
TIROS-N,n05,N05,N05,1978-10-13,1978-10-19,1
NOAA-6,n06,N06,N06,1979-06-27,1979-06-27,1
NOAA-7,n07,N07,N07,1981-06-23,1981-08-24,2
NOAA-8,n08,N08,N08,1983-03-28,1983-05-03,1
NOAA-9,n09,N09,N09,1984-12-12,1985-02-25,2
NOAA-10,n10,N10,N10,1986-09-17,1986-11-17,1
NOAA-11,n11,N11,N11,1988-09-24,1988-11-08,2
NOAA-12,n12,N12,N12,1991-05-14,1991-09-17,2
NOAA-14,n14,N14,N14,1994-12-30,1995-04-10,2
NOAA-15,n15,N15,N15,1998-05-13,1998-12-15,3
NOAA-16,n16,N16,N16,2000-09-21,2001-03-20,3
NOAA-17,n17,N17,N17,2002-06-24,2002-10-15,3
NOAA-18,n18,N18,N18,2005-05-20,2005-08-30,3
NOAA-19,n19,N19,N19,2009-02-06,2009-06-02,3
Metop-2,m02,M02,MOA,2006-10-19,2007-05-21,3
Metop-1,m01,M01,MOB,2012-09-17,2013-04-24,3
Metop-3,m03,M03,MOC,2018-11-07,2019-07-03,3
